INHIBITION_OF_VOLTAGE_GATED_CD_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS,NEURONAL_SYSTEM,POTASSIUM_CHANNELS,TRANSMISSION_ACROSS_CHEMICAL_AL_SYNAPSES,GPCR_DOWNSTREAM_SIGNALING,SLC_MEDIATED_TRANSMEMBRANE_TR_TRANSPORT,NEUROTRANSMITTER_RECEPTOR_BINBINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL,RAS_ACTIVATION_UOPN_CA2_INFUXFUX_THROUGH_NMDA_RECEPTOR,SIGNALING_BY_GPCR
,NEFL,,,GRK5,SLC7A7,,,GNAI2
,NSF,,,GRP,SLC7A8,,,GNAI3
,PANX1,,,GRPR,SLC7A9,,,GNAL
,PANX2,,,HCAR2,SLC8A1,,,GNAO1
,PDPK1,,,HCAR3,SLC8A2,,,GNAQ
,PICK1,,,HCRT,SLC8A3,,,GNAS
,PLCB1,,,HCRTR1,SLC9A1,,,GNAT1
,PLCB2,,,HCRTR2,SLC9A2,,,GNAT2
,PLCB3,,,HEBP1,SLC9A3,,,GNAZ
,PRKACB,,,HRH1,SLC9A4,,,GNB1
,PRKCA,,,HRH2,SLC9A5,,,GNB2
,PRKCB,,,HRH3,SLC9A6,,,GNB3
,PRKCG,,,HRH4,SLC9A7,,,GNB4
,RAB3A,,,HTR1A,SLC9A8,,,GNB5
,RAF1,,,HTR1B,SLC9A9,,,GNG10
,RASGRF1,,,HTR1D,SLCO1A2,,,GNG11
,RASGRF2,,,HTR1E,SLCO1B1,,,GNG12
,RIMS1,,,HTR1F,SLCO1B3,,,GNG13
,RPS6KA1,,,HTR2A,SLCO1C1,,,GNG2
,RPS6KA2,,,HTR2B,SLCO2A1,,,GNG3
,RPS6KA3,,,HTR2C,SLCO2B1,,,GNG4
,RPS6KA6,,,HTR4,SLCO3A1,,,GNG5
,RRAS,,,HTR5A,SLCO4A1,,,GNG7
,SLC17A7,,,HTR6,SLCO4C1,,,GNG8
,SLC18A2,,,HTR7,TPR,,,GNGT1
,SLC18A3,,,IAPP,,,,GNGT2
,SLC1A1,,,IL8,,,,GNRH1
,SLC1A2,,,INSL3,,,,GNRH2
,SLC1A3,,,INSL5,,,,GNRHR
,SLC1A6,,,ITPR2,,,,GPBAR1
,SLC1A7,,,ITPR3,,,,GPER
,SLC22A2,,,ITSN1,,,,GPR132
,SLC32A1,,,KALRN,,,,GPR17
,SLC38A1,,,KISS1,,,,GPR18
,SLC38A2,,,KISS1R,,,,GPR39
,SLC5A7,,,KNG1,,,,GPR4
,SLC6A1,,,LHB,,,,GPR44
,SLC6A11,,,LHCGR,,,,GPR55
,SLC6A12,,,LOC652222,,,,GPR65
,SLC6A3,,,LOC652692,,,,GPR68
,SNAP25,,,LOC653879,,,,GPR77
,STX10,,,LOC730002,,,,GPRC6A
,STX11,,,LOC730221,,,,GRB2
,STX12,,,LOC730335,,,,GRK5
,STX16,,,LOC730413,,,,GRM1
,STX1A,,,LOC730421,,,,GRM2
,STX1B,,,LOC730808,,,,GRM3
,STX2,,,LOC731823,,,,GRM4
,STX3,,,LPAR1,,,,GRM6
,STX4,,,LPAR2,,,,GRM7
,STX5,,,LPAR3,,,,GRM8
,STX6,,,LPAR4,,,,GRP
,STX7,,,LPAR6,,,,GRPR
,STX8,,,LTB4R,,,,HBEGF
,STXBP1,,,LTB4R2,,,,HCAR2
,SYN1,,,MC1R,,,,HCAR3
,SYN2,,,MC2R,,,,HCRT
,SYN3,,,MC3R,,,,HCRTR1
,SYT1,,,MC4R,,,,HCRTR2
,SYT2,,,MC5R,,,,HEBP1
,UNC13B,,,MCF2,,,,HRAS
,VAMP1,,,MCHR1,,,,HRH1
,VAMP2,,,MCHR2,,,,HRH2
,,,,MGLL,,,,HRH3
,,,,MLN,,,,HRH4
,,,,MLNR,,,,HTR1A
,,,,MTNR1A,,,,HTR1B
,,,,MTNR1B,,,,HTR1D
,,,,NET1,,,,HTR1E
,,,,NGEF,,,,HTR1F
,,,,NMB,,,,HTR2A
,,,,NMBR,,,,HTR2B
,,,,NMS,,,,HTR2C
,,,,NMU,,,,HTR4
,,,,NMUR1,,,,HTR5A
,,,,NMUR2,,,,HTR6
,,,,NPB,,,,HTR7
,,,,NPBWR1,,,,IAPP
,,,,NPBWR2,,,,IHH
,,,,NPFF,,,,IL8
,,,,NPFFR1,,,,INSL3
,,,,NPFFR2,,,,INSL5
,,,,NPS,,,,ITPR2
,,,,NPSR1,,,,ITPR3
,,,,NPW,,,,ITSN1
,,,,NPY,,,,KALRN
,,,,NPY1R,,,,KISS1
,,,,NPY2R,,,,KISS1R
,,,,NPY5R,,,,KNG1
,,,,NTS,,,,KRAS
,,,,NTSR1,,,,LHB
,,,,NTSR2,,,,LHCGR
,,,,OBSCN,,,,LOC649279
,,,,OPN1LW,,,,LOC652222
,,,,OPN1MW,,,,LOC652292
,,,,OPN1MW2,,,,LOC652692
,,,,OPN1SW,,,,LOC653879
,,,,OPN3,,,,LOC728830
,,,,OPN4,,,,LOC730002
,,,,OPN5,,,,LOC730221
,,,,OPRD1,,,,LOC730335
,,,,OPRK1,,,,LOC730413
,,,,OPRL1,,,,LOC730418
,,,,OPRM1,,,,LOC730421
,,,,OR10A2,,,,LOC730808
,,,,OR10A3,,,,LOC731823
,,,,OR10A4,,,,LPAR1
,,,,OR10A5,,,,LPAR2
,,,,OR10A6,,,,LPAR3
,,,,OR10A7,,,,LPAR4
,,,,OR10AD1,,,,LPAR6
,,,,OR10AG1,,,,LTB4R
,,,,OR10C1,,,,LTB4R2
,,,,OR10G2,,,,MAP2K1
,,,,OR10G3,,,,MAP2K2
,,,,OR10G4,,,,MAPK1
,,,,OR10G7,,,,MAPK3
,,,,OR10G8,,,,MAPK7
,,,,OR10G9,,,,MC1R
,,,,OR10H1,,,,MC2R
,,,,OR10H2,,,,MC3R
,,,,OR10H3,,,,MC4R
,,,,OR10H4,,,,MC5R
,,,,OR10H5,,,,MCF2
,,,,OR10J1,,,,MCHR1
,,,,OR10J3,,,,MCHR2
,,,,OR10J5,,,,MGLL
,,,,OR10K1,,,,MLN
,,,,OR10K2,,,,MLNR
,,,,OR10P1,,,,MMP3
,,,,OR10Q1,,,,MTNR1A
,,,,OR10R2,,,,MTNR1B
,,,,OR10S1,,,,NET1
,,,,OR10T2,,,,NGEF
,,,,OR10V1,,,,NMB
,,,,OR10W1,,,,NMBR
,,,,OR10X1,,,,NMS
,,,,OR10Z1,,,,NMU
,,,,OR11A1,,,,NMUR1
,,,,OR11G2,,,,NMUR2
,,,,OR14A16,,,,NPB
,,,,OR14C36,,,,NPBWR1
,,,,OR14J1,,,,NPBWR2
,,,,OR14K1,,,,NPFF
,,,,OR1A1,,,,NPFFR1
,,,,OR1A2,,,,NPFFR2
,,,,OR1B1,,,,NPS
,,,,OR1C1,,,,NPSR1
,,,,OR1D2,,,,NPW
,,,,OR1D4,,,,NPY
,,,,OR1D5,,,,NPY1R
,,,,OR1E1,,,,NPY2R
,,,,OR1E2,,,,NPY5R
,,,,OR1F1,,,,NRAS
,,,,OR1G1,,,,NTS
,,,,OR1I1,,,,NTSR1
,,,,OR1J1,,,,NTSR2
,,,,OR1J2,,,,O3FAR1
,,,,OR1J4,,,,OBSCN
,,,,OR1K1,,,,OPN1LW
,,,,OR1L1,,,,OPN1MW
,,,,OR1L3,,,,OPN1MW2
,,,,OR1L4,,,,OPN1SW
,,,,OR1L6,,,,OPN3
,,,,OR1L8,,,,OPN4
,,,,OR1M1,,,,OPN5
,,,,OR1N1,,,,OPRD1
,,,,OR1N2,,,,OPRK1
,,,,OR1Q1,,,,OPRL1
,,,,OR1S1,,,,OPRM1
,,,,OR1S2,,,,OR10A2
,,,,OR2A1,,,,OR10A3
,,,,OR2A12,,,,OR10A4
,,,,OR2A14,,,,OR10A5
,,,,OR2A2,,,,OR10A6
,,,,OR2A25,,,,OR10A7
,,,,OR2A4,,,,OR10AD1
,,,,OR2A42,,,,OR10AG1
,,,,OR2A5,,,,OR10C1
,,,,OR2A7,,,,OR10G2
,,,,OR2AE1,,,,OR10G3
,,,,OR2AG1,,,,OR10G4
,,,,OR2AK2,,,,OR10G7
